tool.ID,package.manager,number.citations.per.year,executed.commands,commands.manual,undoc.commands,Automatic.instalation.test,instalation.time,easy.flag,example.provided
ID66,Github,16.89,10,3,0.7,Fail,120,Not.installed,Y
ID67,SourceForge,22.71,190,7,1,Fail,120,Not.installed,Y
ID68,Other,23.6,N/A,N/A,N/A,N/A,30,Not.installed,Y
ID69,Other,24,4,N/A,N/A,Fail,120,Not.installed,N
ID70,Other,24.2,N/A,7,N/A,Fail,120,Not.installed,Y
ID71,Bioconductor,26.57,2,1,0.5,Fail,5,Easy,N
ID72,Other,28.5,N/A,29,N/A,Fail,120,Not.installed,N
ID73,Other,30.75,7,3,0.6,Fail,120,Complex,Y
ID74,Other,33.45,3,3,0,Pass,5,Easy,Y
ID75,Bioconductor,36,23,2,0.9,Fail,120,Complex,Y
ID76,BitBucket,36.25,30,10,0.7,Fail,120,Complex,Y
ID77,Other,39,3,3,0,Pass,5,Easy,Y
ID78,Other,39.1,12,12,0,Pass,15,Easy,Y
ID79,Other,43,5,1,0.8,Fail,120,Complex,Y
ID80,Other,47.13,N/A,2,N/A,N/A,5,Not.installed,N
ID81,Bioconda,57.2,1,1,0,Pass,5,Easy,Y
ID82,Bioconductor,57.83,2,2,0,Pass,5,Easy,Y
ID84,Bioconda,60.3,1,1,0,Pass,5,Easy,Y
ID85,pip,73.17,12,10,0.2,Fail,60,Complex,Y
ID86,Github,75.71,1,1,0,Pass,5,Easy,N
ID87,SourceForge,76.3,1,1,0,Pass,5,Easy,Y
ID88,Bioconda,124,1,1,0,Pass,5,Easy,Y
ID89,Other,124.1,1,1,0,Pass,5,Easy,N
ID90,Bioconductor,159,20,2,0.9,Fail,60,Complex,Y
ID91,Bioconda,163.2,1,1,0,Pass,5,Easy,Y
ID92,Other,169.22,2,2,0,Pass,5,Easy,Y
ID93,Github,216.33,12,3,0.8,Fail,30,Complex,Y
ID94,Bioconda,247.4,1,1,0,Pass,5,Easy,Y
ID95,Other,683.11,2,2,0,Pass,5,Easy,Y
ID96,Github,798.4,3,2,0.3,Fail,5,Easy,Y
ID97,Other,1059,10,7,0.3,Fail,60,Complex,Y
ID98,Bioconda,1122.6,1,1,0,Pass,5,Easy,Y
ID99,Bioconda,1450.9,3,3,0,Pass,5,Complex,Y
