id,package.manager,number.citations.per.year,executed.commands,commands.manual,undoc.commands,Automatic.instalation.test,instalation.time,easy.flag,example.provided
ID53,NA,3.33,N/A,N/A,N/A,Fail,120,Not.installed,Y
ID54,NA,4.33,4,N/A,N/A,N/A,120,Not.installed,N
ID55,NA,4.67,1,1,0,Pass,5,Easy,N
ID56,NA,5.11,N/A,N/A,N/A,Fail,120,Not.installed,N
ID57,NA,6.83,22,4,0.8,Fail,30,Complex,Y
ID58,NA,7,N/A,N/A,N/A,Fail,120,Not.installed,N
ID59,NA,7.17,2,1,0.5,Fail,15,Easy,N
ID60,NA,7.25,N/A,3,N/A,Fail,120,Not.installed,N
ID61,NA,8,4,3,0.3,Fail,15,Easy,Y
ID62,NA,8.9,14,14,0,Fail,120,Not.installed,Y
ID63,NA,9.56,N/A,N/A,N/A,Fail,120,Not.installed,Y
ID64,NA,9.8,N/A,1,N/A,Fail,120,Not.installed,Y
ID65,NA,10.43,N/A,N/A,N/A,N/A,120,Complex,Y
ID66,NA,12.17,1,1,0,Pass,5,Easy,Y
ID67,NA,12.75,4,4,0,Pass,15,Easy,Y
ID68,NA,13.33,5,5,0,Pass,15,Easy,Y
ID69,NA,14.7,13,13,0,Pass,15,Easy,Y
ID70,NA,15.1,4,2,0.5,Fail,120,Complex,Y
ID71,NA,15.3,1,1,0,Pass,5,Easy,Y
ID72,NA,15.63,52,N/A,N/A,N/A,120,Complex,N
ID73,NA,16.29,1,1,0,Pass,5,Easy,Y
ID74,NA,23.6,N/A,N/A,N/A,N/A,30,Not.installed,Y
ID75,NA,24,4,N/A,N/A,Fail,120,Not.installed,N
ID76,NA,24.2,N/A,7,N/A,Fail,120,Not.installed,Y
ID77,NA,28.5,N/A,29,N/A,Fail,120,Not.installed,N
ID78,NA,30.75,7,3,0.6,Fail,120,Complex,Y
ID79,NA,33.45,3,3,0,Pass,5,Easy,Y
ID80,NA,39,3,3,0,Pass,5,Easy,Y
ID81,NA,39.1,12,12,0,Pass,15,Easy,Y
ID82,NA,43,5,1,0.8,Fail,120,Complex,Y
ID83,NA,47.13,N/A,2,N/A,N/A,5,Not.installed,N
ID84,NA,124.1,1,1,0,Pass,5,Easy,N
ID85,NA,169.22,2,2,0,Pass,5,Easy,Y
ID86,NA,683.11,2,2,0,Pass,5,Easy,Y
ID87,NA,1059,10,7,0.3,Fail,60,Complex,Y
ID88,pip,73.17,12,10,0.2,Fail,60,Complex,Y
ID89,NA,1.6,5,N/A,N/A,N/A,30,Complex,N
ID90,NA,1.83,1,1,0,Pass,15,Not.installed,Y
ID91,NA,3,4,4,0,Fail,120,Not.installed,Y
ID92,NA,8,1,1,0,Pass,5,Easy,N
ID93,NA,10.56,N/A,N/A,N/A,N/A,5,Easy,N
ID94,NA,12.25,N/A,N/A,N/A,N/A,5,Easy,N
ID95,NA,13.29,1,1,0,Pass,120,Not.installed,N
ID96,NA,16,2,N/A,N/A,N/A,5,Easy,N
ID97,NA,22.71,190,7,1,Fail,120,Not.installed,Y
ID98,NA,76.3,1,1,0,Pass,5,Easy,Y
